Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Richmond Aririguzoh,27,27,777,20.9,0.631,0.617,0.005,0.519,349,0.126,0.203,0.165,0.162,0.009,0.02,0.249,0.234,1.9,0.8,2.7,0.139,1.2,0.7,2
Drew Friberg,27,13,700,16.9,0.59,0.571,0.746,0.153,207,0.031,0.143,0.087,0.083,0.028,0.003,0.069,0.155,1.7,0.8,2.4,0.139,3.8,-0.3,3.5
Jaelin Llewellyn,27,27,901,17.4,0.504,0.458,0.436,0.304,399,0.03,0.127,0.078,0.142,0.018,0.008,0.107,0.271,1.7,0.8,2.4,0.109,0.4,-1.8,-1.5
Ethan Wright,26,17,632,13.1,0.555,0.535,0.646,0.127,174,0.024,0.177,0.101,0.086,0.016,0.008,0.125,0.161,0.9,0.6,1.5,0.096,0.7,-0.6,0
Jerome Desrosiers,27,1,336,20.5,0.628,0.614,0.663,0.168,123,0.038,0.212,0.125,0.102,0.012,0.009,0.076,0.187,1.1,0.3,1.4,0.166,3.8,-2,1.8
Ryan Schwieger,22,18,580,16,0.571,0.532,0.403,0.226,238,0.033,0.11,0.071,0.202,0.016,0.005,0.205,0.238,1,0.5,1.4,0.099,0.8,-1.8,-1
Jose Morales,27,1,401,14.3,0.618,0.577,0.366,0.366,113,0.006,0.067,0.036,0.202,0.042,0.008,0.224,0.142,0.7,0.5,1.2,0.121,0.6,0.1,0.6
Ryan Langborg,20,9,324,11.6,0.561,0.552,0.766,0.039,79,0.02,0.122,0.071,0.063,0.015,0.016,0.123,0.147,0.4,0.3,0.7,0.081,0.4,-1.1,-0.7
Tosan Evbuomwan,26,19,371,11.9,0.55,0.551,0.192,0.397,101,0.024,0.14,0.082,0.117,0.021,0.025,0.226,0.172,0.2,0.4,0.6,0.066,-2.8,0.8,-2
Elijah Barnes,17,0,83,14.1,0.657,0.643,0.286,0.643,24,0.061,0.138,0.1,0.091,0.029,0,0.247,0.156,0.1,0.1,0.2,0.111,-0.1,-0.4,-0.4
Max Johns,17,3,153,8.3,0.438,0.389,0.296,0.296,32,0.025,0.133,0.079,0.136,0.023,0.02,0.226,0.138,0,0.2,0.2,0.042,-4,0.8,-3.1
Keeshawn Kellman,10,0,47,33,0.659,0.682,0,0.364,28,0.19,0.135,0.162,0.066,0,0.066,0.213,0.371,0.1,0,0.2,0.131,0,-2.9,-2.8
Konrad Kiszka,13,0,51,15.6,0.534,0.464,0.5,0.571,19,0.025,0.149,0.087,0.112,0.023,0,0.144,0.217,0.1,0.1,0.1,0.104,-0.8,-2.4,-3.2
Charlie Bagin,11,0,36,1.7,0.67,0.75,1,0.25,8,0.071,0.071,0.071,0.142,0,0,0.573,0.155,-0.1,0,0,-0.048,-4.7,-3.2,-7.9
Colby Kyle,1,0,1,84.3,0.678,1,0,1,2,0,0,0,0,0,0,0,0.785,0,0,0,0.793,12.4,-21.7,-9.3
Jacob O'Connell,11,0,32,9.6,0.5,0.5,0.429,0,9,0.04,0.318,0.179,0.229,0,0.032,0.364,0.183,0,0,0,0.022,-6,0.8,-5.1
Zach Hunsaker,27,27,886,14.3,0.529,0.477,0.618,0.292,309,0.013,0.105,0.057,0.087,0.026,0.004,0.118,0.204,1.4,1.2,2.7,0.121,1,-0.9,0.1
Brandon Anderson,25,25,877,16,0.491,0.426,0.416,0.364,425,0.028,0.093,0.059,0.201,0.026,0.006,0.165,0.299,1,1.2,2.2,0.099,0.2,-1.3,-1.2
Jaylan Gainey,25,13,493,22.1,0.69,0.685,0,0.348,136,0.087,0.198,0.14,0.04,0.013,0.119,0.17,0.127,1.1,1,2.1,0.171,-1.3,6,4.7
Tamenang Choh,27,27,850,15.5,0.468,0.422,0.207,0.443,377,0.073,0.215,0.141,0.243,0.013,0.019,0.207,0.274,0.4,1.3,1.7,0.079,-2.2,1.1,-1.1
David Mitchell,27,2,541,12.8,0.593,0.556,0.317,0.46,107,0.095,0.193,0.142,0.071,0.019,0.022,0.198,0.086,0.8,0.9,1.7,0.123,-1,2.2,1.1
Joshua Howard,25,18,451,13.1,0.489,0.471,0.479,0.207,127,0.077,0.138,0.106,0.056,0.019,0.027,0.136,0.166,0.4,0.7,1.1,0.095,-1.8,0.2,-1.5
Matt DeWolf,23,14,274,14.3,0.524,0.508,0.048,0.258,84,0.096,0.161,0.127,0.196,0.025,0.016,0.287,0.173,0.1,0.4,0.6,0.081,-2.9,1.7,-1.3
